,title,ingredients,directions,link,source,NER
7939,Jane'S Coleslaw,"[""4 c. chopped cabbage"", ""8 green onions, chopped"", ""4 Tbsp. sesame seed plus 4 Tbsp. almonds (all toasted)"", ""1 c. sliced onions"", ""2 pkg. Ramen noodles (chicken flavor)""]","[""Toast sesame seed and almonds in 2 tablespoons of butter until light brown."", ""Cool."", ""Break up noodles."", ""Add onions, sesame seed and almonds."", ""Toss with dressing.""]",www.cookbooks.com/Recipe-Details.aspx?id=1018461,Gathered,"[""cabbage"", ""green onions"", ""sesame seed plus"", ""onions"", ""Ramen noodles""]"
8862,Oriental Chicken Salad,"[""2 pkg. Ramen noodles"", ""3 chicken breast"", ""1 head cabbage"", ""1 bunch green onions"", ""1/4 c. sesame seed, toasted"", ""1/2 c. sliced almonds, toasted"", ""1/4 c. sugar"", ""5 Tbsp. lemon juice"", ""9 Tbsp. vegetable oil"", ""1 tsp. salt"", ""1 tsp. pepper""]","[""Blend cabbage, cooked chicken, onions, seed, nuts and uncooked Ramen noodles.""]",www.cookbooks.com/Recipe-Details.aspx?id=662344,Gathered,"[""Ramen noodles"", ""chicken breast"", ""cabbage"", ""green onions"", ""sesame seed"", ""almonds"", ""sugar"", ""lemon juice"", ""vegetable oil"", ""salt"", ""pepper""]"
8940,Oriental Salad,"[""1 lb. shredded cabbage"", ""4 to 6 green onions, chopped"", ""2 pkg. Ramen noodles, chicken flavor"", ""5 oz. pkg. kernel sunflower seeds"", ""1/3 c. apple cider vinegar"", ""1/2 c. oil"", ""1/2 c. sugar""]","[""Combine apple cider, vinegar, oil, sugar and broth packs from Ramen noodles."", ""Refrigerate."", ""Combine cabbage, green onions, crushed Ramen noodles (uncooked) and sunflower seeds."", ""Mix all together just a few minutes before serving.""]",www.cookbooks.com/Recipe-Details.aspx?id=956248,Gathered,"[""cabbage"", ""green onions"", ""Ramen noodles"", ""kernel sunflower seeds"", ""apple cider vinegar"", ""oil"", ""sugar""]"
9373,Chinese Coleslaw,"[""1 (16 oz.) pkg. coleslaw mix"", ""1 pkg. low-fat Ramen noodles (Oriental flavor)"", ""1 bunch green onions, chopped"", ""1 small pkg. slivered almonds"", ""1 small pkg. sunflower seeds""]","[""Break and separate Ramen noodles."", ""Combine all of the ingredients.""]",www.cookbooks.com/Recipe-Details.aspx?id=852270,Gathered,"[""coleslaw mix"", ""low-fat Ramen noodles"", ""green onions"", ""almonds"", ""sunflower seeds""]"
9671,Pasta Salad,"[""4 green onions, sliced"", ""1/2 head shredded cabbage"", ""1/2 bell pepper, diced"", ""1/2 pkg. frozen peas"", ""2 Tbsp. sunflower nuts"", ""1/2 c. slivered almonds"", ""3 oz. pkg. chicken flavored Ramen noodles"", ""1/2 c. sugar"", ""5 Tbsp. vinegar"", ""1/2 c. oil"", ""1/2 tsp. black pepper"", ""salt to taste""]","[""Break up uncooked noodles."", ""Add onions, cabbage, green pepper, frozen peas and nuts."", ""Mix together flavor packet from noodles, sugar, vinegar, oil, pepper and salt."", ""Pour over cabbage mixture. Mix and let set 24 hours in refrigerator."", ""Mix and serve."", ""Easy to make, tastes good and serves a lot.""]",www.cookbooks.com/Recipe-Details.aspx?id=769556,Gathered,"[""green onions"", ""cabbage"", ""bell pepper"", ""frozen peas"", ""sunflower nuts"", ""almonds"", ""chicken flavored Ramen noodles"", ""sugar"", ""vinegar"", ""oil"", ""black pepper"", ""salt""]"
11377,Asian Beef Noodles,"[""1 lb. round tip steak, cut into bite-size pieces"", ""1 Tbsp. vegetable oil"", ""1 pkg. beef-flavored Ramen noodles"", ""1/4 c. steak sauce"", ""1 medium carrot, shredded"", ""2 Tbsp. onion, chopped"", ""1/4 c. peanuts, chopped""]","[""Cook beef with oil to desired tenderness. Break noodles into 4 sections and cook (save beef seasoning/flavoring packet). Combine cooked noodles, steak sauce, carrot, onion and beef seasoning/flavoring packet. Cook until heated throughout. Add beef. Sprinkle with peanuts. Yield: 4 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=53603,Gathered,"[""vegetable oil"", ""beef-flavored Ramen noodles"", ""steak sauce"", ""carrot"", ""onion"", ""peanuts""]"
12114,Easy Chicken Noodle Soup,"[""3 c. water"", ""1 pkg. chicken flavor Ramen noodles (3 oz. pkg.)"", ""2 c. cooked chicken, cut up"", ""2 medium stalks bok choy (with leaves)"", ""1/2 c. carrot (about 1 medium carrot)""]","[""Heat water to boiling in 3-quart saucepan."", ""Break block of noodles; reserve seasoning packet."", ""Stir noodles, chicken, bok choy and carrot into water."", ""Heat to boiling; reduce heat. Simmer, uncovered, 3 minutes, stirring occasionally."", ""Stir in seasoning packet.""]",www.cookbooks.com/Recipe-Details.aspx?id=214118,Gathered,"[""water"", ""chicken flavor"", ""chicken"", ""choy"", ""carrot""]"
13457,Ramen Noodle Cole Slaw,"[""1 head shredded cabbage or 1 pkg. slaw mix"", ""5 green onions, sliced diagonally"", ""1 Tbsp. sunflower seeds (more, if desired)"", ""1/2 c. sliced almonds"", ""1 pkg. Ramen noodles (chicken flavor; do not cook)"", ""1/2 c. vegetable oil"", ""3 Tbsp. tarragon vinegar"", ""1/3 c. sugar"", ""chicken flavor packet from noodles""]","[""Mix oil, sugar and chicken flavor packet in microwavable bowl for 1 minute in microwave. Add vinegar and stir well. Just before serving, mix first 4 ingredients together. Add Ramen noodles by breaking them up in mixture. Do not cook noodles. Pour the dressing mixture over and stir well. Serve immediately.""]",www.cookbooks.com/Recipe-Details.aspx?id=97333,Gathered,"[""cabbage"", ""green onions"", ""sunflower seeds"", ""almonds"", ""Ramen noodles"", ""vegetable oil"", ""tarragon vinegar"", ""sugar"", ""chicken flavor""]"
16258,Dole Cole Slaw Salad,"[""1 bag of dole coleslaw mix in bag"", ""1 small bad sunflower kernels"", ""1 small bag slivered almonds"", ""1 pkg. Ramen noodles (chicken or oriental flavored)"", ""3-4 stalks green onions, chopped"", ""1/3 c. white vinegar"", ""1/2 c. oil"", ""1/2 c. sugar""]","[""Mix first 5 ingredients together in a large bowl. Set aside. In small bowl mix seasoning from noodles, vinegar, oil and sugar. Mix all together and serve immediately.""]",www.cookbooks.com/Recipe-Details.aspx?id=80902,Gathered,"[""sunflower"", ""almonds"", ""Ramen noodles"", ""stalks green onions"", ""white vinegar"", ""oil"", ""sugar""]"
16667,Sister Mary'S Slaw,"[""1 pkg. slivered almonds"", ""1/2 head cabbage"", ""4 green onions"", ""1 pkg. uncooked Ramen noodles (chicken flavor)"", ""2 Tbsp. sugar"", ""1/2 c. oil"", ""3 Tbsp. vinegar"", ""1 tsp. salt"", ""1/2 tsp. pepper"", ""chicken flavor packet""]","[""Shred cabbage very fine."", ""Brown almonds a little bit, either in oven or in a skillet."", ""Chop green onions and break noodles into small pieces."", ""Add to cabbage.""]",www.cookbooks.com/Recipe-Details.aspx?id=542751,Gathered,"[""almonds"", ""cabbage"", ""green onions"", ""Ramen noodles"", ""sugar"", ""oil"", ""vinegar"", ""salt"", ""pepper"", ""chicken flavor""]"
16761,Chicken And Noodles,"[""1 (3 lb.) chicken, cooked and deboned"", ""1 (8 oz.) pkg. (more or less) Ramen noodles"", ""1 medium onion, diced"", ""1 c. fresh sliced mushrooms"", ""1 c. chopped celery"", ""1/2 stick butter"", ""1 1/2 c. milk"", ""1 can cream of mushroom soup"", ""8 oz. Velveeta cheese"", ""sliced almonds (optional)""]","[""Simmer chicken and save broth."", ""Remove cooked chicken from the bone and cut into bite size pieces."", ""Cook noodles in broth. Saut onion, mushrooms and celery in butter."", ""Mix together milk, soup and Velveeta."", ""Warm until cheese melts.""]",www.cookbooks.com/Recipe-Details.aspx?id=113386,Gathered,"[""chicken"", ""Ramen noodles"", ""onion"", ""mushrooms"", ""celery"", ""butter"", ""milk"", ""cream of mushroom soup"", ""Velveeta cheese"", ""almonds""]"
18955,Teresa'S Cabbage Salad,"[""1 head cabbage, chopped"", ""1 pkg. Ramen noodles, crushed up"", ""1 small pkg. almonds"", ""1 Tbsp. poppy seed"", ""2 Tbsp. butter"", ""3/4 c. oil"", ""1/4 c. vinegar (white)"", ""1/4 c. sugar""]","[""Saute almonds in butter; add poppy seed."", ""Cool."", ""Mix cabbage and noodles and almond mixture."", ""Add dressing of oil, vinegar and sugar."", ""Refrigerate an hour if possible.""]",www.cookbooks.com/Recipe-Details.aspx?id=430469,Gathered,"[""cabbage"", ""Ramen noodles"", ""almonds"", ""poppy seed"", ""butter"", ""oil"", ""vinegar"", ""sugar""]"
19039,Oriental Salad,"[""1 head Chinese cabbage (nappa or savory)"", ""5 green onions, chopped"", ""1/2 c. oleo"", ""2 pkg. Ramen noodles (do not use flavored)"", ""1/2 c. sunflower seeds"", ""2 1/2 oz. sliced almonds""]","[""Cut cabbage lengthwise and crosswise (slice thin)."", ""Add onions and chill."", ""Brown noodles in oleo."", ""Add sunflower seeds and almonds."", ""Saute until light brown; drain on paper towel."", ""I do this ahead of time and store in plastic container.""]",www.cookbooks.com/Recipe-Details.aspx?id=951513,Gathered,"[""head Chinese cabbage"", ""green onions"", ""oleo"", ""Ramen noodles"", ""sunflower seeds"", ""almonds""]"
19297,Chinese Chicken Salad,"[""2 pkg. Top Ramen soup"", ""1 head cabbage"", ""1 bunch green onion"", ""1 c. slivered almonds"", ""4 tsp. sesame seeds"", ""4 chicken breasts, cooked and cooled"", ""1 tsp. salt"", ""2 tsp. pepper"", ""4 Tbsp. sugar"", ""4 Tbsp. cider vinegar"", ""1/2 c. vegetable oil""]","[""Chop cabbage and green onions."", ""Add almonds, sesame seed and cooked chicken breasts."", ""Combine Top Ramen flavor packets, salt, pepper, sugar, vinegar and oil."", ""Pour over salad and add crushed Top Ramen noodles.""]",www.cookbooks.com/Recipe-Details.aspx?id=1030610,Gathered,"[""Ramen soup"", ""cabbage"", ""green onion"", ""almonds"", ""sesame seeds"", ""chicken breasts"", ""salt"", ""pepper"", ""sugar"", ""cider vinegar"", ""vegetable oil""]"
21160,Ham And Vegetable Soup,"[""4 c. water"", ""2 (3 oz.) pkg. chicken flavor Ramen noodles"", ""2 c. frozen mixed vegetables"", ""2 c. milk"", ""2 Tbsp. flour"", ""1 c. chopped, cooked ham""]","[""In a large saucepan, combine water, noodles, contents of seasoning packet and frozen vegetables."", ""Bring to a boil."", ""In a small jar, with a tight fitting lid, combine milk and flour; shake well to blend."", ""Gradually add to soup, stirring constantly."", ""Cook until soup is thickened."", ""Stir in ham."", ""Makes 6 (1 cup) servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=913328,Gathered,"[""water"", ""chicken flavor"", ""mixed vegetables"", ""milk"", ""flour""]"
21438,Coleslaw,"[""2 Tbsp. sugar"", ""3 Tbsp. vinegar"", ""1/2 tsp. pepper"", ""1 head grated cabbage"", ""4 grated green onions"", ""2 Tbsp. toasted sunflower seeds"", ""1/2 c. oil"", ""1 tsp. Accent"", ""1 pkg. Ramen chicken flavor"", ""1 pkg. cooked Ramen noodles, cooled"", ""1/2 c. toasted almonds""]","[""Mix sugar, oil, vinegar, Accent, pepper and Ramen noodle flavoring together and refrigerate overnight.""]",www.cookbooks.com/Recipe-Details.aspx?id=906055,Gathered,"[""sugar"", ""vinegar"", ""pepper"", ""cabbage"", ""green onions"", ""sunflower seeds"", ""oil"", ""Accent"", ""Ramen chicken flavor"", ""Ramen noodles"", ""almonds""]"
21799,Oriental Cabbage Salad,"[""3 pieces chicken breast"", ""1 medium head cabbage"", ""2 pkg. Ramen (chicken sesame flavor)"", ""1 c. slivered almonds"", ""1 Tbsp. butter"", ""1 c. bell pepper"", ""2 Tbsp. sesame seed"", ""1/2 c. oil"", ""1/2 c. vinegar"", ""2 Tbsp. sugar"", ""salt and pepper to taste"", ""1/2 c. onions""]","[""Break up and boil Ramen noodles, reserve spice packet."", ""Drain and rinse."", ""Toast almonds in butter."", ""Combine noodles, almonds, chopped cabbage, onions, green peppers and sesame seed.""]",www.cookbooks.com/Recipe-Details.aspx?id=785122,Gathered,"[""chicken breast"", ""head cabbage"", ""Ramen"", ""almonds"", ""butter"", ""bell pepper"", ""sesame seed"", ""oil"", ""vinegar"", ""sugar"", ""salt"", ""onions""]"
22458,Crazy Slaw,"[""1 pkg. broccoli"", ""1 pkg. slaw"", ""3 green onions"", ""1 c. oil"", ""4 Tbsp. sugar"", ""6 Tbsp. rice vinegar"", ""1 Tbsp. salt"", ""1 Tbsp. pepper"", ""2 pkg. Ramen noodles (broken into pieces)"", ""1/2 c. sliced almonds"", ""1/2 c. shelled sunflower seed""]","[""Mix broccoli, slaw, and green onions in large bowl."", ""Combine oil, sugar, rice, vinegar, salt and pepper in large jar."", ""Shake well, until blended and pour over slaw."", ""Mix Ramen noodles, almond, and seeds together with slaw mixture and chill.""]",www.cookbooks.com/Recipe-Details.aspx?id=86820,Gathered,"[""broccoli"", ""slaw"", ""green onions"", ""oil"", ""sugar"", ""rice vinegar"", ""salt"", ""pepper"", ""Ramen noodles"", ""almonds"", ""sunflower""]"
23608,Green Gorilla Guts,"[""3 lb. lean ground steak, cut into strips"", ""2 large onions"", ""2 cans brown gravy"", ""6 or 7 cloves garlic"", ""6 large green peppers"", ""3/4 lb. fresh mushrooms"", ""Italian seasoning to taste""]","[""Peel and slice onions in large pan with little water."", ""Bring to boil; turn down and simmer 15 minutes."", ""Brown steak; put in large, covered baking dish."", ""Add onions, gravy, garlic and Italian seasoning."", ""Bake 1 1/2 hours, then add green pepper."", ""Bake another 1/2 hour."", ""Add mushrooms."", ""Bake 15 minutes."", ""Serve over rice or Ramen noodles.""]",www.cookbooks.com/Recipe-Details.aspx?id=309899,Gathered,"[""lean ground steak"", ""onions"", ""brown gravy"", ""garlic"", ""green peppers"", ""fresh mushrooms"", ""Italian seasoning""]"
24709,Oriental Chicken Salad,"[""2 pkg. Ramen noodles (chicken flavor), crushed (save seasonings for later)"", ""2 cans chicken, drained"", ""1/2 can chopped cashews"", ""1 bag cole slaw"", ""1 c. oil"", ""1/2 c. sugar"", ""2 Tbsp. soy sauce"", ""seasoning from noodles""]","[""Heat, then pour over salad; mix well. Best to let set overnight so the noodles will soak up the oil.""]",www.cookbooks.com/Recipe-Details.aspx?id=96439,Gathered,"[""Ramen noodles"", ""chicken"", ""cashews"", ""cole slaw"", ""oil"", ""sugar"", ""soy sauce"", ""noodles""]"
25215,Oriental Cole Slaw,"[""1 head cabbage, mixed with green onions and any other veggies you normally use"", ""1/2 c. toasted almonds"", ""3/4 to 1 c. oil (not olive)"", ""1/2 c. white sugar"", ""2 tsp. Lawry's seasoned pepper"", ""1/2 c. seasoned rice vinegar"", ""2 tsp. salt""]","[""Cook dressing until blended and smooth."", ""Toss with cabbage mixture at any time, but mix in 1 package Top Ramen noodles just before serving.""]",www.cookbooks.com/Recipe-Details.aspx?id=999476,Gathered,"[""cabbage"", ""almonds"", ""oil"", ""white sugar"", ""pepper"", ""rice vinegar"", ""salt""]"
25221,Chinese Slaw,"[""1 head nappa cabbage"", ""5 green onions"", ""1/2 c. canola oil"", ""1/2 c. sugar"", ""1/4 c. vinegar"", ""salt and pepper to taste"", ""1/2 c. butter"", ""1/3 c. sesame seeds"", ""1 small pkg. slivered almonds"", ""2 pkg. Ramen Oodles of Noodles""]","[""Remove stalks from cabbage and chop cabbage; wash and refrigerate. Dice onion. Over low heat, melt butter in pan. Crush Ramen noodles (discard flavor packets) and add to pan with sesame seeds and slivered almonds; stir often until brown. Drain on paper towel.""]",www.cookbooks.com/Recipe-Details.aspx?id=111243,Gathered,"[""cabbage"", ""green onions"", ""canola oil"", ""sugar"", ""vinegar"", ""salt"", ""butter"", ""sesame seeds"", ""almonds"", ""Ramen Oodles""]"
29157,Oriental Slaw,"[""1 pkg. shredded cabbage"", ""4 oz. slivered almonds"", ""1 pkg. Ramen Oriental noodles, broken up"", ""4 to 6 green onions"", ""5 oz. sunflower seeds"", ""1 c. oil"", ""2/3 c. cider vinegar"", ""1 c. sugar""]","[""In large bowl, toss together slaw."", ""Mix almonds, noodles, onions and sunflower seeds."", ""Combine oil, vinegar and sugar; mix well."", ""Pour over slaw and toss together."", ""Serves 6.""]",www.cookbooks.com/Recipe-Details.aspx?id=65663,Gathered,"[""cabbage"", ""almonds"", ""Ramen Oriental noodles"", ""green onions"", ""sunflower seeds"", ""oil"", ""cider vinegar"", ""sugar""]"
32240,Crunchy Romaine Toss,"[""1 cup walnuts chopped"", ""1 pkg Ramen noodles, broken"", ""2 to 4 Tbsp butter (unsalted)"", ""Almond slices (optional)"", ""1 bunch broccoli, chopped"", ""1 head (or bag) of romaine, torn in pieces"", ""4 green onions, chopped"", ""1/2 cup oil"", ""1/2 cup sugar or 12 pkg of Splenda"", ""1/4 Tbsp soy sauce"", ""salt and pepper to taste"", ""1/4 cup red wine vinegar""]","[""Brown in skillet walnuts, Ramen noodles, butter, and almond slices."", ""Set aside and cool. In a large salad bowl, combine broccoli, romaine lettuce, chopped green onions. Mix together oil, sugar or Splenda, vinegar, soy sauce, and salt and pepper to make dressing. To romaine mixture add nut mixture and toss."", ""Pour dressing over salad mixture and toss.""]",www.cookbooks.com/Recipe-Details.aspx?id=20890,Gathered,"[""walnuts"", ""Ramen noodles"", ""butter"", ""Almond slices"", ""broccoli"", ""head"", ""green onions"", ""oil"", ""sugar"", ""soy sauce"", ""salt"", ""red wine vinegar""]"
33758,Oriental Chicken And Noodles,"[""2 T. cornstarch"", ""1 T. soy sauce"", ""2 pkgs. chicken flavored Ramen noodles, reserve seasoning packet"", ""2 c. warm water"", ""1 T. vegetable oil"", ""1 lb. skinless, boneless chicken breast, cut into small strips"", ""5 c. cut-up fresh vegetables (broccoli, onions, celery, and carrots) can also used frozen broccoli"", ""1/8 t. garlic powder, or 1 minced garlic clove"", ""cashews, if desired""]","[""In small bowl dissolve reserved seasoning packets from noodles in the warm water."", ""Add soy sauce and cornstarch; stir until smooth."", ""Set aside."", ""Cook noodles according to package directions."", ""Drain off most of the liquid; set aside."", ""In 10 inch skillet or wok over medium-high heat, in 1 T. hot oil, stir fry chicken until browned."", ""Add vegetables, and garlic and cool until vegetables are tender-crisp."", ""Add reserved cornstarch mixture. Cook until mixture boils and thickens, stirring constantly."", ""Add desired amount of cashews just before removing from heat."", ""Serve over noodles."", ""May use additional soy sauce over top if desired.""]",www.cookbooks.com/Recipe-Details.aspx?id=39646,Gathered,"[""cornstarch"", ""soy sauce"", ""chicken flavored Ramen noodles"", ""water"", ""vegetable oil"", ""skinless"", ""vegetables"", ""garlic"", ""cashews""]"
34005,Broccoli Salad,"[""1/2 c. sugar"", ""1/2 c. olive oil"", ""1/3 c. white vinegar"", ""1/4 c. water"", ""1 c. almond slivers, browned"", ""2 (3 oz.) pkg. Ramen noodles, oriental flavor"", ""1 c. shelled sunflower seeds"", ""1 bunch green onion, chopped"", ""1 (16 oz.) pkg. broccoli slaw""]","[""Mix sugar, oil, vinegar, water, and flavor packets."", ""Set aside."", ""Crush dry noodles."", ""Mix noodles with almonds, sunflower seeds, onions, and slaw."", ""Drizzle with dressing and toss.""]",www.cookbooks.com/Recipe-Details.aspx?id=35529,Gathered,"[""sugar"", ""olive oil"", ""white vinegar"", ""water"", ""almond slivers"", ""Ramen noodles"", ""sunflower seeds"", ""green onion"", ""broccoli slaw""]"
35668,Cole Slaw,"[""1 c. oil"", ""1 pkg. chicken Ramen noodles"", ""1 (12 to 16 oz.) pkg. cole slaw"", ""1/4 c. sunflower seeds"", ""1 c. toasted sliced almonds"", ""6 tsp. cider vinegar"", ""4 Tbsp. sugar"", ""1 tsp. pepper"", ""8 green onions, chopped""]","[""Mix oil and vinegar, sugar, pepper and soup seasoning packet (from Ramen noodles) and refrigerate.""]",www.cookbooks.com/Recipe-Details.aspx?id=81620,Gathered,"[""oil"", ""chicken Ramen noodles"", ""cole slaw"", ""sunflower seeds"", ""almonds"", ""cider vinegar"", ""sugar"", ""pepper"", ""green onions""]"
36399,Yummy Salad,"[""1 large bunch Romaine lettuce"", ""1 c. vegetable oil"", ""1 large carrot (chopped or grated)"", ""1 c. white vinegar"", ""1/3 med. Red onion (chopped)"", ""1 c. sugar"", ""1 pkg. ramen noodles (crushed)"", ""3 Tbsp. soy sauce"", ""1 c. slivered almonds"", ""6 uncooked bacon slices""]","[""Combine lettuce, carrot, and onion in large salad bowl."", ""Cook bacon slices and save bacon grease for later."", ""Crumble bacon into small bits."", ""Mix ramen noodles and almonds on a cookie sheet. Lightly coat the noodle/almond mixture with the bacon grease. Brown the mixture in toaster (or conventional) oven."", ""Make dressing by combining vegetable oil, vinegar, sugar, and soy sauce in a sauce pan."", ""Simmer sauce until sugar is dissolved."", ""Set aside to cool."", ""Add bacon bits and the toasted ramen noodles and almonds to salad in bowl."", ""Mix and serve."", ""Keep dressing separate from salad until salad is served."", ""(Salad will not keep very long once dressing is added.)""]",www.cookbooks.com/Recipe-Details.aspx?id=4626,Gathered,"[""Romaine lettuce"", ""vegetable oil"", ""carrot"", ""white vinegar"", ""Red onion"", ""sugar"", ""ramen noodles"", ""soy sauce"", ""almonds"", ""bacon""]"
